requisito_tfm,estado,bloques_realizados,evidencia_notebook,pendiente
1. Mostrar estilo y modelo de juego del equipo,Cumplido / en desarrollo avanzado,"Perfil Real Sociedad, índices por fases, radar propio, quadrant plots, lectura táctica del equipo","Tablas de equipo, KPIs por fases, radar Real Sociedad vs media liga, visualizaciones de dominio, amenaza, presión y solidez",Pulir narrativa final para presentación
2. Identificar KPIs que definan cada fase del juego,Cumplido,"KPIs ofensivos, progresión, presión, solidez, eficacia, amenaza, dominio territorial","Índices de equipo, rankings, radar plots, tabla de fases tácticas",Explicar de forma sencilla cómo se calculan y qué significan
3. Análisis del contexto competitivo y DAFO,Muy avanzado,"Comparativa con 20 equipos de LaLiga, estilos tácticos, matriz de riesgo rival, perfiles de amenaza","Tabla de estilos, matriz de riesgo para Real Sociedad, quadrant plots de equipos",Crear DAFO final en formato visual/presentación
4. Detectar puntos débiles ante otros estilos de juego,Muy avanzado,"Análisis de riesgo por estilos: dominador ofensivo, presión y solidez, bloque bajo/reactivo, perfil mixto","Matriz de riesgo rival, radar de 5 rivales, cards pre-partido",Convertirlo en conclusiones tácticas finales
5. Analizar estilos de juego de rivales que afectan a la Real Sociedad,Cumplido / en desarrollo avanzado,"Barcelona, Celta, Athletic, Mallorca y Osasuna como partidos seleccionados","Tabla base 5 partidos, radar 5 rivales, matriz de riesgo, cards pre-partido",Completar análisis específico cuando se trabajen eventos/partidos
6. Presentar análisis pre-partido de 4-5 partidos,Muy avanzado,"Fichas pre-partido, planes con balón, planes sin balón, claves de entrenador, amenaza individual rival","df_ficha_prepartido_completa, resumen ejecutivo pre-partido, cards de jugadores rivales",Maquetarlo visualmente para dashboard y presentación
7. Presentar análisis post-partido de 4-5 partidos,Estructura creada,"Plantilla post-partido, criterios de evaluación, matriz de madurez, KPIs post-partido","df_dashboard_partidos_final, df_kpis_postpartido, df_madurez_dashboard",Rellenar con datos reales o lectura manual de cada partido
8. Describir metodología utilizada,Muy avanzado,"Metodología pre-partido, metodología post-partido, inventario de objetos del notebook","df_metodologia_postpartido, inventario automático, tablas puente pre/post",Redactar apartado metodológico final en Word/PDF
9. Crear herramienta personalizada para un club,Muy avanzado,"Sistema de análisis Real Sociedad: equipos, jugadores propios, rivales, pre-partido, post-partido, dashboard",Todas las tablas exportadas a datos_procesados y visualizaciones interactivas,Montar dashboard/web final
10. Entrega de código y herramienta,En desarrollo,"Notebook principal con ETL, KPIs, visualizaciones, exportaciones CSV",Notebook 01_analisis_real_sociedad + datos_procesados,"Limpiar notebook, ordenar carpetas y preparar GitHub"
11. Presentación PDF del trabajo,Pendiente,Contenido analítico ya generado para convertir en slides,"Gráficos, tablas ejecutivas, cards, radares, matrices",Crear presentación final tipo Liverpool/Bristol
12. Vídeo presentación máximo 45 minutos,Pendiente,Base narrativa y estructura del análisis ya construida,"Checklist, inventario, bloques de análisis",Crear guion final y ensayar explicación
