Rival,Ranking rival,Jugador,Posición,Perfil amenaza,Índice total,Plan específico sobre jugador,Uso en pre-partido,Lectura táctica
Athletic Club,1,Mikel Jauregizar,Midfielder,Sostén defensivo,34.55,"Mover a Mikel Jauregizar fuera de su zona de influencia, evitar duelos directos repetidos y buscar superioridades alrededor.","En el pre-partido ante Athletic Club, este jugador debe aparecer como una de las referencias individuales a vigilar.","Mikel Jauregizar funciona como sostén defensivo de Athletic Club. Su impacto está más relacionado con duelos, recuperaciones y equilibrio, por lo que puede dificultar la progresión de la Real Sociedad."
Athletic Club,2,Yuri,Defender,Sostén defensivo,32.64,"Mover a Yuri fuera de su zona de influencia, evitar duelos directos repetidos y buscar superioridades alrededor.","En el pre-partido ante Athletic Club, este jugador debe aparecer como una de las referencias individuales a vigilar.","Yuri funciona como sostén defensivo de Athletic Club. Su impacto está más relacionado con duelos, recuperaciones y equilibrio, por lo que puede dificultar la progresión de la Real Sociedad."
Athletic Club,3,Íñigo Ruíz de Galarreta,Midfielder,Sostén defensivo,30.01,"Mover a Íñigo Ruíz de Galarreta fuera de su zona de influencia, evitar duelos directos repetidos y buscar superioridades alrededor.","En el pre-partido ante Athletic Club, este jugador debe aparecer como una de las referencias individuales a vigilar.","Íñigo Ruíz de Galarreta funciona como sostén defensivo de Athletic Club. Su impacto está más relacionado con duelos, recuperaciones y equilibrio, por lo que puede dificultar la progresión de la Real Sociedad."
Barcelona,1,Lamine Yamal,Forward,Amenaza ofensiva,61.57,"Reducir espacios para Lamine Yamal, evitar duelos largos en campo abierto y preparar ayudas cercanas.","En el pre-partido ante Barcelona, este jugador debe aparecer como una de las referencias individuales a vigilar.","Lamine Yamal aparece como amenaza ofensiva principal de Barcelona. Su perfil obliga a preparar ayudas, vigilancia en último tercio y control de pérdidas que puedan activar transiciones."
Barcelona,2,Pedri,Midfielder,Progresor / conector,44.19,"Limitar recepción cómoda de Pedri, orientar la presión y cortar líneas de pase hacia dentro.","En el pre-partido ante Barcelona, este jugador debe aparecer como una de las referencias individuales a vigilar.","Pedri destaca como progresor o conector de Barcelona. Puede condicionar la salida y la continuidad ofensiva del rival, por lo que conviene limitar su recepción y orientar la presión."
Barcelona,3,Eric García,Defender,Progresor / conector,43.75,"Limitar recepción cómoda de Eric García, orientar la presión y cortar líneas de pase hacia dentro.","En el pre-partido ante Barcelona, este jugador debe aparecer como una de las referencias individuales a vigilar.","Eric García destaca como progresor o conector de Barcelona. Puede condicionar la salida y la continuidad ofensiva del rival, por lo que conviene limitar su recepción y orientar la presión."
Celta,1,Marcos Alonso,Defender,Progresor / conector,39.56,"Limitar recepción cómoda de Marcos Alonso, orientar la presión y cortar líneas de pase hacia dentro.","En el pre-partido ante Celta, este jugador debe aparecer como una de las referencias individuales a vigilar.","Marcos Alonso destaca como progresor o conector de Celta. Puede condicionar la salida y la continuidad ofensiva del rival, por lo que conviene limitar su recepción y orientar la presión."
Celta,2,Sergio Carreira,Defender,Progresor / conector,28.29,"Limitar recepción cómoda de Sergio Carreira, orientar la presión y cortar líneas de pase hacia dentro.","En el pre-partido ante Celta, este jugador debe aparecer como una de las referencias individuales a vigilar.","Sergio Carreira destaca como progresor o conector de Celta. Puede condicionar la salida y la continuidad ofensiva del rival, por lo que conviene limitar su recepción y orientar la presión."
Celta,3,Óscar Mingueza,Defender,Progresor / conector,27.97,"Limitar recepción cómoda de Óscar Mingueza, orientar la presión y cortar líneas de pase hacia dentro.","En el pre-partido ante Celta, este jugador debe aparecer como una de las referencias individuales a vigilar.","Óscar Mingueza destaca como progresor o conector de Celta. Puede condicionar la salida y la continuidad ofensiva del rival, por lo que conviene limitar su recepción y orientar la presión."
Mallorca,1,V. Muriqi,Forward,Amenaza ofensiva,31.56,"Reducir espacios para V. Muriqi, evitar duelos largos en campo abierto y preparar ayudas cercanas.","En el pre-partido ante Mallorca, este jugador debe aparecer como una de las referencias individuales a vigilar.","V. Muriqi aparece como amenaza ofensiva principal de Mallorca. Su perfil obliga a preparar ayudas, vigilancia en último tercio y control de pérdidas que puedan activar transiciones."
