equipo,lider_ofensivo,indice_ofensivo,posicion_ofensivo,lider_progresion,indice_progresion,posicion_progresion,lider_defensivo,indice_defensivo,posicion_defensivo,lectura_tactica,uso_dashboard
Alaves,L. Boyé,34.68,Forward,Jonny,50.18,Defender,Antonio Blanco,67.71,Midfielder,"Alaves presenta como referencia ofensiva a L. Boyé (34.68). En progresión destaca Jonny (50.18), mientras que el principal sostén defensivo es Antonio Blanco (67.71).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Athletic Club,Alex Berenguer,31.41,Forward,Yuri,40.43,Defender,Mikel Jauregizar,57.74,Midfielder,"Athletic Club presenta como referencia ofensiva a Alex Berenguer (31.41). En progresión destaca Yuri (40.43), mientras que el principal sostén defensivo es Mikel Jauregizar (57.74).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Atletico Madrid,J. Alvarez,37.59,Forward,Koke,53.55,Midfielder,D. Hancko,38.21,Defender,"Atletico Madrid presenta como referencia ofensiva a J. Alvarez (37.59). En progresión destaca Koke (53.55), mientras que el principal sostén defensivo es D. Hancko (38.21).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Barcelona,Lamine Yamal,74.06,Forward,Lamine Yamal,67.36,Forward,Eric García,56.24,Defender,"Barcelona presenta como referencia ofensiva a Lamine Yamal (74.06). En progresión destaca Lamine Yamal (67.36), mientras que el principal sostén defensivo es Eric García (56.24).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Betis,Pablo Fornals,43.73,Midfielder,Pablo Fornals,60.74,Midfielder,Natan,50.57,Defender,"Betis presenta como referencia ofensiva a Pablo Fornals (43.73). En progresión destaca Pablo Fornals (60.74), mientras que el principal sostén defensivo es Natan (50.57).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Celta,Borja Iglesias,34.71,Forward,Marcos Alonso,66.82,Defender,Marcos Alonso,46.58,Defender,"Celta presenta como referencia ofensiva a Borja Iglesias (34.71). En progresión destaca Marcos Alonso (66.82), mientras que el principal sostén defensivo es Marcos Alonso (46.58).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Elche,Germán Valera,30.38,Forward,Aleix Febas,59.45,Midfielder,D. Affengruber,66.3,Defender,"Elche presenta como referencia ofensiva a Germán Valera (30.38). En progresión destaca Aleix Febas (59.45), mientras que el principal sostén defensivo es D. Affengruber (66.3).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Espanyol,Edu Expósito,32.07,Midfielder,Edu Expósito,39.51,Midfielder,Carlos Romero,60.05,Defender,"Espanyol presenta como referencia ofensiva a Edu Expósito (32.07). En progresión destaca Edu Expósito (39.51), mientras que el principal sostén defensivo es Carlos Romero (60.05).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Getafe,Luis Milla,33.88,Midfielder,David Soria,47.48,Goalkeeper,Juan Iglesias,62.85,Defender,"Getafe presenta como referencia ofensiva a Luis Milla (33.88). En progresión destaca David Soria (47.48), mientras que el principal sostén defensivo es Juan Iglesias (62.85).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Girona,V. Tsygankov,32.92,Forward,D. Blind,64.7,Defender,D. Blind,57.75,Defender,"Girona presenta como referencia ofensiva a V. Tsygankov (32.92). En progresión destaca D. Blind (64.7), mientras que el principal sostén defensivo es D. Blind (57.75).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Levante,K. Etta Eyong,29.99,Forward,Adrián de la Fuente,38.6,Defender,Manu Sánchez,53.24,Defender,"Levante presenta como referencia ofensiva a K. Etta Eyong (29.99). En progresión destaca Adrián de la Fuente (38.6), mientras que el principal sostén defensivo es Manu Sánchez (53.24).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Mallorca,V. Muriqi,49.96,Forward,M. Valjent,43.37,Defender,Samú Costa,49.58,Midfielder,"Mallorca presenta como referencia ofensiva a V. Muriqi (49.96). En progresión destaca M. Valjent (43.37), mientras que el principal sostén defensivo es Samú Costa (49.58).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Osasuna,A. Budimir,41.84,Forward,Jon Moncayola,38.34,Midfielder,Alejandro Catena,54.02,Defender,"Osasuna presenta como referencia ofensiva a A. Budimir (41.84). En progresión destaca Jon Moncayola (38.34), mientras que el principal sostén defensivo es Alejandro Catena (54.02).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Oviedo,F. Viñas,28.54,Forward,Aarón Escandell,40.57,Goalkeeper,F. Viñas,41.44,Forward,"Oviedo presenta como referencia ofensiva a F. Viñas (28.54). En progresión destaca Aarón Escandell (40.57), mientras que el principal sostén defensivo es F. Viñas (41.44).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Rayo Vallecano,Álvaro García,38.31,Midfielder,F. Lejeune,47.53,Defender,F. Lejeune,67.12,Defender,"Rayo Vallecano presenta como referencia ofensiva a Álvaro García (38.31). En progresión destaca F. Lejeune (47.53), mientras que el principal sostén defensivo es F. Lejeune (67.12).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Real Madrid,K. Mbappé,81.77,Forward,F. Valverde,54.33,Midfielder,A. Tchouaméni,56.42,Midfielder,"Real Madrid presenta como referencia ofensiva a K. Mbappé (81.77). En progresión destaca F. Valverde (54.33), mientras que el principal sostén defensivo es A. Tchouaméni (56.42).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Real sociedad,Mikel Oyarzabal,50.13,Forward,Sergio Gómez,44.03,Forward,J. Aramburu,66.76,Defender,"Real sociedad presenta como referencia ofensiva a Mikel Oyarzabal (50.13). En progresión destaca Sergio Gómez (44.03), mientras que el principal sostén defensivo es J. Aramburu (66.76).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Sevilla,A. Adams,30.38,Forward,L. Agoumé,38.53,Midfielder,José Ángel Carmona,55.31,Defender,"Sevilla presenta como referencia ofensiva a A. Adams (30.38). En progresión destaca L. Agoumé (38.53), mientras que el principal sostén defensivo es José Ángel Carmona (55.31).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Valencia,Luis Rioja,25.57,Forward,Pepelu,35.43,Midfielder,José Gayà,39.29,Defender,"Valencia presenta como referencia ofensiva a Luis Rioja (25.57). En progresión destaca Pepelu (35.43), mientras que el principal sostén defensivo es José Gayà (39.29).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
Villareal,N. Pépé,40.49,Forward,Santi Comesaña,38.63,Midfielder,S. Mouriño,62.98,Defender,"Villareal presenta como referencia ofensiva a N. Pépé (40.49). En progresión destaca Santi Comesaña (38.63), mientras que el principal sostén defensivo es S. Mouriño (62.98).",Identificar rápidamente los perfiles individuales dominantes de cada equipo para conectar el análisis colectivo con amenazas o fortalezas por jugador.
